title,authors,average_rating,rating,date_of_publication,total_pages,genres,author_followers,no_of_reviews,no_of_books_by_author,one_star_ratings,two_star_ratings,three_star_ratings,four_star_ratings,five_star_ratings
Mary Poppins,P.L. Travers,4.01,132898,1934-01-01,209,"['Classics', 'Fantasy', 'Childrens', 'Fiction', 'Middle Grade', 'Audiobook', 'Young Adult', 'Classics', 'Fantasy', 'Childrens', 'Fiction', 'Middle Grade', 'Audiobook', 'Young Adult', 'Classics', 'Fantasy', 'Childrens', 'Fiction', 'Middle Grade', 'Audiobook', 'Young Adult']",692,6835,81,2277,7534,29006,41414,52667
The Portable Dorothy Parker,Dorothy Parker,4.34,11793,1944-05-01,610,"['Poetry', 'Short Stories', 'Fiction', 'Classics', 'Humor', 'Essays', 'Literature', 'Poetry', 'Short Stories', 'Fiction', 'Classics', 'Humor', 'Essays', 'Literature', 'Poetry', 'Short Stories', 'Fiction', 'Classics', 'Humor', 'Essays', 'Literature']",1924,629,285,97,230,1369,4021,6076
The Witch of Blackbird Pond,Elizabeth George Speare,4.02,151717,1958-01-01,256,"['Historical Fiction', 'Young Adult', 'Fiction', 'Classics', 'Childrens', 'Historical', 'Middle Grade']",1118,7395,40,2931,7088,31008,54343,56347
How Green Was My Valley,Richard Llewellyn,4.2,17310,1939-01-01,448,"['Classics', 'Fiction', 'Historical Fiction', 'Coming Of Age', 'Historical', 'Literature', 'British Literature']",101,1715,73,199,602,2645,5968,7896
Cryptonomicon,Neal Stephenson,4.24,111872,1999-05-01,1152,"['Fiction', 'Science Fiction', 'Historical Fiction', 'Cyberpunk', 'Thriller', 'Historical', 'Science Fiction Fantasy']",26200,6016,149,1870,4273,14582,35932,55215
Hyperion,Dan Simmons,4.26,249427,1989-05-26,500,"['Science Fiction', 'Fiction', 'Fantasy', 'Space Opera', 'Science Fiction Fantasy', 'Audiobook', 'Horror']",11900,12474,314,3977,9221,31580,77249,127400
The Dead Zone,Stephen King,3.96,221691,1979-08-30,402,"['Horror', 'Fiction', 'Thriller', 'Fantasy', 'Science Fiction', 'Paranormal', 'Mystery']",841000,6582,2519,2449,10060,52648,85191,71343
The Aleph and Other Stories,Jorge Luis Borges,4.34,41313,1945-01-01,210,"['Short Stories', 'Fiction', 'Classics', 'Fantasy', 'Magical Realism', 'Literature', 'Spanish Literature']",12500,2222,1818,384,1269,4854,12224,22582
Tai-Pan,James Clavell,4.29,52515,1966-01-01,734,"['Historical Fiction', 'Fiction', 'Historical', 'China', 'Asia', 'Adventure', 'Classics']",2850,1322,175,321,1063,7030,18662,25439
"Look Homeward, Angel",Thomas Wolfe,3.92,14768,1929-01-01,544,"['Fiction', 'Classics', 'Literature', 'Novels', 'American', 'Coming Of Age', 'Southern']",1014,1271,339,461,1100,2954,4971,5282
My Family and Other Animals,Gerald Durrell,4.17,55375,1956-01-01,273,"['Nonfiction', 'Memoir', 'Biography', 'Humor', 'Animals', 'Travel', 'Classics']",1566,4783,218,932,2128,8402,18967,24946
Grendel,John Gardner,3.69,38836,1971-08-12,174,"['Fiction', 'Fantasy', 'Classics', 'Mythology', 'School', 'Literature', 'Novels']",407,2711,363,1707,3748,9819,13217,10345
The Lathe of Heaven,Ursula K. Le Guin,4.12,73029,1971-05-01,176,"['Science Fiction', 'Fiction', 'Fantasy', 'Dystopia', 'Classics', 'Science Fiction Fantasy', 'Speculative Fiction']",25500,6191,977,514,2162,12634,30233,27486
Post Office,Charles Bukowski,3.94,125411,1971-01-01,208,"['Fiction', 'Classics', 'Novels', 'Literature', 'American', 'Humor', 'Contemporary']",27700,5743,855,2254,6516,26583,51183,38875
The Thin Man,Dashiell Hammett,3.92,35066,1933-12-01,201,"['Mystery', 'Fiction', 'Classics', 'Crime', 'Noir', 'Mystery Thriller', 'Detective']",2406,2759,530,565,1855,8036,14147,10463
The Selected Poetry of Rainer Maria Rilke,Rainer Maria Rilke,4.39,15455,1948-01-01,356,"['Poetry', 'Classics', 'German Literature', 'Literature', 'Fiction', 'Philosophy', '20th Century', 'Poetry', 'Classics', 'German Literature', 'Literature', 'Fiction', 'Philosophy', '20th Century', 'Poetry', 'Classics', 'German Literature', 'Literature', 'Fiction', 'Philosophy', '20th Century', 'Poetry', 'Classics', 'German Literature', 'Literature', 'Fiction', 'Philosophy', '20th Century', 'Poetry', 'Classics', 'German Literature', 'Literature', 'Fiction', 'Philosophy', '20th Century']",5859,542,1444,144,283,1679,4664,8685
The Color of Water: A Black Man's Tribute to His White Mother,James   McBride,4.13,122592,1995-01-01,291,"['Nonfiction', 'Memoir', 'Biography', 'Race', 'African American', 'Biography Memoir', 'School']",5363,7004,21,1855,4185,20407,46374,49771
A Lesson Before Dying,Ernest J. Gaines,3.98,59765,1993-01-01,256,"['Fiction', 'Historical Fiction', 'Classics', 'African American', 'School', 'Literature', 'Historical']",914,4175,49,824,2968,12939,23022,20012
"God Bless You, Mr. Rosewater",Kurt Vonnegut Jr.,3.96,66977,1965-01-01,288,"['Fiction', 'Classics', 'Humor', 'Science Fiction', 'Literature', 'Novels', 'American']",33400,2686,530,611,2620,15601,28160,19985
Where the Heart Is,Billie Letts,4.03,248134,1995-01-01,376,"['Fiction', 'Chick Lit', 'Romance', 'Contemporary', 'Adult Fiction', 'Adult', 'Drama']",843,4215,8,2551,9918,53420,92968,89277
The Bad Beginning,Lemony Snicket,4.0,516753,1999-08-25,176,"['Fiction', 'Young Adult', 'Fantasy', 'Childrens', 'Middle Grade', 'Mystery', 'Adventure', 'Fiction', 'Young Adult', 'Fantasy', 'Childrens', 'Middle Grade', 'Mystery', 'Adventure', 'Fiction', 'Young Adult', 'Fantasy', 'Childrens', 'Middle Grade', 'Mystery', 'Adventure']",24800,21830,220,10910,26722,106632,177181,195308
On the Banks of Plum Creek,Laura Ingalls Wilder,4.22,101034,1937-01-01,384,"['Classics', 'Historical Fiction', 'Childrens', 'Fiction', 'Young Adult', 'Historical', 'Middle Grade', 'Classics', 'Historical Fiction', 'Childrens', 'Fiction', 'Young Adult', 'Historical', 'Middle Grade', 'Classics', 'Historical Fiction', 'Childrens', 'Fiction', 'Young Adult', 'Historical', 'Middle Grade']",4767,2334,346,939,2408,16791,34388,46508
The Gospel According to Jesus Christ,José Saramago,4.31,32784,1991-01-01,341,"['Fiction', 'Religion', 'Historical Fiction', 'Portugal', 'Literature', 'Portuguese Literature', 'Nobel Prize', 'Fiction', 'Religion', 'Historical Fiction', 'Portugal', 'Literature', 'Portuguese Literature', 'Nobel Prize', 'Fiction', 'Religion', 'Historical Fiction', 'Portugal', 'Literature', 'Portuguese Literature', 'Nobel Prize']",14800,2271,278,329,846,4110,10600,16899
Trinity,Leon Uris,4.29,23766,1976-01-01,894,"['Historical Fiction', 'Fiction', 'Ireland', 'Historical', 'Irish Literature', 'Classics', 'War']",1287,1220,97,166,551,3299,8037,11713
Flowers in the Attic,V.C. Andrews,3.85,211526,1979-01-01,389,"['Fiction', 'Horror', 'Young Adult', 'Classics', 'Mystery', 'Gothic', 'Thriller']",8070,12317,325,7236,16094,49171,68160,70865
The Winter of Our Discontent,John Steinbeck,4.0,47578,1961-01-01,291,"['Fiction', 'Classics', 'Literature', 'American', 'Novels', 'Literary Fiction', '20th Century', 'Fiction', 'Classics', 'Literature', 'American', 'Novels', 'Literary Fiction', '20th Century', 'Fiction', 'Classics', 'Literature', 'American', 'Novels', 'Literary Fiction', '20th Century']",22500,2931,784,511,2137,9976,19007,15947
The Guns of August,Barbara W. Tuchman,4.18,75933,1962-01-01,658,"['History', 'Nonfiction', 'War', 'World War I', 'Military Fiction', 'Military History', 'Politics']",1913,3370,41,2202,2852,10238,24700,35941
The Last Temptation of Christ,Nikos Kazantzakis,4.18,14351,1955-01-01,506,"['Fiction', 'Religion', 'Classics', 'Historical Fiction', 'Literature', 'Novels', 'Greece', 'Fiction', 'Religion', 'Classics', 'Historical Fiction', 'Literature', 'Novels', 'Greece', 'Fiction', 'Religion', 'Classics', 'Historical Fiction', 'Literature', 'Novels', 'Greece']",3851,1087,193,248,538,2173,4872,6520
"The Chronicles of Thomas Covenant, the Unbeliever",Stephen R. Donaldson,3.81,15206,1977-01-01,1160,"['Fantasy', 'Fiction', 'Epic Fantasy', 'Science Fiction Fantasy', 'Science Fiction', 'High Fantasy', 'Adventure']",2553,361,164,956,1240,2943,4678,5389
Beach Music,Pat Conroy,4.18,50447,1995-07-02,800,"['Fiction', 'Southern', 'Historical Fiction', 'Contemporary', 'Drama', 'Literature', 'Novels']",3459,3480,89,749,1959,7915,16782,23042
Kindred,Octavia E. Butler,4.3,213283,1979-01-01,288,"['Historical Fiction', 'Fiction', 'Science Fiction', 'Fantasy', 'Time Travel', 'Classics', 'Historical']",17400,23558,95,1256,4611,24685,80116,102615
The Heart of the Matter,Graham Greene,3.97,29022,1948-01-01,272,"['Fiction', 'Classics', 'Africa', 'Literature', 'Novels', 'British Literature', 'Literary Fiction']",5270,1715,456,360,1329,6286,11946,9101
Digital Fortress,Dan       Brown,3.69,634294,1998-02-01,510,"['Fiction', 'Thriller', 'Mystery', 'Suspense', 'Mystery Thriller', 'Crime', 'Science Fiction']",101000,11005,395,20620,58692,180729,208617,165636
"One Fish, Two Fish, Red Fish, Blue Fish",Dr. Seuss,4.17,202760,1960-05-14,64,"['Childrens', 'Picture Books', 'Fiction', 'Classics', 'Poetry', 'Animals', 'Fantasy']",17600,3321,848,4845,9748,35029,48739,104399
Stargirl,Jerry Spinelli,3.77,325706,2000-06-30,186,"['Young Adult', 'Fiction', 'Contemporary', 'Realistic Fiction', 'Romance', 'Middle Grade', 'Childrens']",3702,16615,113,12381,28520,81726,102197,100882
The Man Who Mistook His Wife for a Hat and Other Clinical Tales,Oliver Sacks,4.06,219778,1985-01-01,243,"['Nonfiction', 'Psychology', 'Science', 'Medicine', 'Neuroscience', 'Medical', 'Short Stories']",8752,9515,98,3223,9249,42101,82615,82590
Patriot Games,Tom Clancy,4.16,205633,1987-08-04,794,"['Fiction', 'Thriller', 'Mystery', 'Suspense', 'Espionage', 'Action', 'Military Fiction']",8012,1828,806,2120,5367,34658,79054,84434
The Notebooks of Malte Laurids Brigge,Rainer Maria Rilke,3.95,8888,1910-01-01,237,"['Fiction', 'Classics', 'German Literature', 'Poetry', 'Literature', 'Novels', 'Philosophy', 'Fiction', 'Classics', 'German Literature', 'Poetry', 'Literature', 'Novels', 'Philosophy', 'Fiction', 'Classics', 'German Literature', 'Poetry', 'Literature', 'Novels', 'Philosophy']",5859,656,1444,193,646,1825,2967,3257
The Shell Seekers,Rosamunde Pilcher,4.19,110237,1987-12-15,544,"['Fiction', 'Historical Fiction', 'Romance', 'Chick Lit', 'British Literature', 'Historical', 'Family']",2575,4573,236,1384,3894,18245,36051,50663
Daughter of Fortune,Isabel Allende,3.93,131111,1998-01-01,432,"['Historical Fiction', 'Fiction', 'Historical', 'Romance', 'Magical Realism', 'Novels', 'Literature']",38400,5191,192,1716,6135,30535,53551,39174
A Light in the Attic,Shel Silverstein,4.36,444236,1981-10-07,176,"['Poetry', 'Childrens', 'Classics', 'Fiction', 'Humor', 'Young Adult', 'Picture Books']",9769,3420,111,7088,12049,53114,115592,256393
Kristin Lavransdatter,Sigrid Undset,4.3,12092,1920-01-01,1144,"['Historical Fiction', 'Fiction', 'Classics', 'Historical', 'Scandinavian Literature', 'Literature', 'Medieval', 'Historical Fiction', 'Fiction', 'Classics', 'Historical', 'Scandinavian Literature', 'Literature', 'Medieval', 'Historical Fiction', 'Fiction', 'Classics', 'Historical', 'Scandinavian Literature', 'Literature', 'Medieval', 'Historical Fiction', 'Fiction', 'Classics', 'Historical', 'Scandinavian Literature', 'Literature', 'Medieval', 'Historical Fiction', 'Fiction', 'Classics', 'Historical', 'Scandinavian Literature', 'Literature', 'Medieval']",716,1583,173,141,418,1537,3512,6484
The Age of Reason,Jean-Paul Sartre,3.99,14659,1945-01-01,416,"['Philosophy', 'Fiction', 'Classics', 'France', 'Literature', 'Novels', 'French Literature']",11100,761,1185,162,631,3124,6089,4653
Fall on Your Knees,Ann-Marie MacDonald,3.97,66086,1996-01-01,672,"['Fiction', 'Historical Fiction', 'Canada', 'Historical', 'Literary Fiction', 'Novels', 'Canadian Literature']",1189,3520,21,1865,3980,13198,22443,24600
Ariel,Sylvia Plath,4.2,78990,1965-01-01,128,"['Classics', 'Feminism', 'Fiction', 'Poetry', '20th Century', 'American', 'Mental Health']",22600,4190,270,1529,2796,11523,25923,37219
The Forever War,Joe Haldeman,4.14,165207,1974-12-01,278,"['Science Fiction', 'Fiction', 'War', 'Space Opera', 'Science Fiction Fantasy', 'Classics', 'Military Fiction']",2054,7383,418,1930,5715,27189,62356,68017
At the Mountains of Madness and Other Tales of Terror,H.P. Lovecraft,4.26,24230,1981-01-01,184,"['Horror', 'Fiction', 'Fantasy', 'Short Stories', 'Classics', 'Science Fiction', 'Lovecraftian']",17400,587,3866,249,737,3338,8154,11752
The Electric Kool-Aid Acid Test,Tom Wolfe,3.92,75300,1968-01-01,416,"['Nonfiction', 'History', 'Classics', 'Biography', 'Journalism', 'Memoir', 'Literature']",2732,2395,165,1430,4431,17149,28104,24186
Herzog,Saul Bellow,3.76,21430,1964-01-01,371,"['Fiction', 'Classics', 'Literature', 'Novels', 'American', '20th Century', 'Nobel Prize', 'Fiction', 'Classics', 'Literature', 'Novels', 'American', '20th Century', 'Nobel Prize', 'Fiction', 'Classics', 'Literature', 'Novels', 'American', '20th Century', 'Nobel Prize']",1784,1419,262,694,1797,5348,7693,5898
Love Medicine,Louise Erdrich,4.01,26452,1984-01-01,367,"['Fiction', 'Historical Fiction', 'Short Stories', 'Literary Fiction', 'Novels', 'Classics', 'Literature']",10500,2049,125,381,1228,5192,10576,9075
Babbitt,Sinclair Lewis,3.69,23528,1922-01-01,344,"['Fiction', 'Classics', 'Literature', 'Novels', 'American', '20th Century', 'Literary Fiction']",955,1584,400,746,1971,6624,8745,5442
Harriet the Spy,Louise Fitzhugh,3.95,99285,1964-01-01,300,"['Fiction', 'Childrens', 'Middle Grade', 'Young Adult', 'Classics', 'Mystery', 'Realistic Fiction']",451,2944,19,3221,5967,21484,30521,38092
Solaris,Stanisław Lem,3.99,106034,1961-01-01,204,"['Science Fiction', 'Fiction', 'Classics', 'Polish Literature', 'Science Fiction Fantasy', 'Philosophy', 'Fantasy', 'Science Fiction', 'Fiction', 'Classics', 'Polish Literature', 'Science Fiction Fantasy', 'Philosophy', 'Fantasy', 'Science Fiction', 'Fiction', 'Classics', 'Polish Literature', 'Science Fiction Fantasy', 'Philosophy', 'Fantasy', 'Science Fiction', 'Fiction', 'Classics', 'Polish Literature', 'Science Fiction Fantasy', 'Philosophy', 'Fantasy', 'Science Fiction', 'Fiction', 'Classics', 'Polish Literature', 'Science Fiction Fantasy', 'Philosophy', 'Fantasy']",3885,6832,426,1668,5922,21618,38979,37847
Tales of Ordinary Madness,Charles Bukowski,3.87,27940,1967-01-01,238,"['Fiction', 'Short Stories', 'Poetry', 'Classics', 'American', 'Literature', 'The United States Of America', 'Fiction', 'Short Stories', 'Poetry', 'Classics', 'American', 'Literature', 'The United States Of America', 'Fiction', 'Short Stories', 'Poetry', 'Classics', 'American', 'Literature', 'The United States Of America']",27700,1190,855,659,1749,6468,10829,8235
Tortilla Flat,John Steinbeck,3.83,55366,1935-01-01,256,"['Fiction', 'Classics', 'Literature', 'Historical Fiction', 'Novels', 'American', '20th Century']",22500,3367,784,714,3273,15157,21734,14488
The Man Without Qualities: Volume I,Robert Musil,4.27,3616,1930-01-01,725,"['Fiction', 'Classics', 'German Literature', 'Literature', 'Philosophy', 'Novels', '20th Century', 'Fiction', 'Classics', 'German Literature', 'Literature', 'Philosophy', 'Novels', '20th Century', 'Fiction', 'Classics', 'German Literature', 'Literature', 'Philosophy', 'Novels', '20th Century', 'Fiction', 'Classics', 'German Literature', 'Literature', 'Philosophy', 'Novels', '20th Century', 'Fiction', 'Classics', 'German Literature', 'Literature', 'Philosophy', 'Novels', '20th Century']",1078,325,253,67,152,460,992,1945
The Threepenny Opera,Bertolt Brecht,3.89,13329,1990-01-01,124,"['Plays', 'Drama', 'Classics', 'Theatre', 'German Literature', 'Fiction', 'Germany', 'Plays', 'Drama', 'Classics', 'Theatre', 'German Literature', 'Fiction', 'Germany', 'Plays', 'Drama', 'Classics', 'Theatre', 'German Literature', 'Fiction', 'Germany', 'Plays', 'Drama', 'Classics', 'Theatre', 'German Literature', 'Fiction', 'Germany', 'Plays', 'Drama', 'Classics', 'Theatre', 'German Literature', 'Fiction', 'Germany']",1722,315,1410,333,917,3003,4695,4381
The Leopard,Giuseppe Tomasi di Lampedusa,4.01,36727,1958-01-01,319,"['Fiction', 'Historical Fiction', 'Italy', 'Italian Literature', 'Literature', 'Novels', 'Classics', 'Fiction', 'Historical Fiction', 'Italy', 'Italian Literature', 'Literature', 'Novels', 'Classics', 'Fiction', 'Historical Fiction', 'Italy', 'Italian Literature', 'Literature', 'Novels', 'Classics']",342,2944,53,742,2021,7255,12959,13750
"Sarah, Plain and Tall",Patricia MacLachlan,3.83,85764,1985-04-25,64,"['Historical Fiction', 'Childrens', 'Fiction', 'Classics', 'Middle Grade', 'Young Adult', 'Historical']",746,3335,122,2015,6240,22903,28170,26436
We Have Always Lived in the Castle,Shirley Jackson,3.94,222995,1962-09-21,160,"['Horror', 'Fiction', 'Gothic', 'Mystery', 'Audiobook', 'Thriller', 'Classics', 'Horror', 'Fiction', 'Gothic', 'Mystery', 'Audiobook', 'Thriller', 'Classics', 'Horror', 'Fiction', 'Gothic', 'Mystery', 'Audiobook', 'Thriller', 'Classics']",9043,25530,292,3332,12819,49217,86854,70773
Thoughts from Walden Pond,Henry David Thoreau,3.76,2150,1998-03-01,96,"['Classics', 'Nonfiction', 'Philosophy', 'Biography', 'Essays', 'Classic Literature', 'Nature', 'Classics', 'Nonfiction', 'Philosophy', 'Biography', 'Essays', 'Classic Literature', 'Nature', 'Classics', 'Nonfiction', 'Philosophy', 'Biography', 'Essays', 'Classic Literature', 'Nature', 'Classics', 'Nonfiction', 'Philosophy', 'Biography', 'Essays', 'Classic Literature', 'Nature', 'Classics', 'Nonfiction', 'Philosophy', 'Biography', 'Essays', 'Classic Literature', 'Nature']",5906,59,2746,84,154,550,761,601
Persepolis: The Story of a Childhood,Marjane Satrapi,4.26,206903,2003-04-29,153,"['Graphic Novels', 'Nonfiction', 'Memoir', 'Comics', 'Biography', 'History', 'School', 'Graphic Novels', 'Nonfiction', 'Memoir', 'Comics', 'Biography', 'History', 'School', 'Graphic Novels', 'Nonfiction', 'Memoir', 'Comics', 'Biography', 'History', 'School']",5667,11803,35,2220,5323,26177,75506,97677
Miss Lonelyhearts / The Day of the Locust,Nathanael West,3.9,10100,1939-05-16,185,"['Fiction', 'Classics', 'Literature', 'Novels', 'American', 'Short Stories', '20th Century']",340,638,21,284,646,2196,3672,3302
The Prime of Miss Jean Brodie,Muriel Spark,3.71,54316,1961-01-01,150,"['Fiction', 'Classics', 'Historical Fiction', 'Scotland', 'Novels', 'British Literature', 'Literary Fiction']",1085,4116,192,1174,4601,15788,20179,12574
Suttree,Cormac McCarthy,4.2,23395,1979-05-01,471,"['Fiction', 'Southern Gothic', 'Literature', 'Novels', 'Classics', 'American', 'Southern']",24200,2053,54,345,898,3545,7653,10954
From the Mixed-Up Files of Mrs. Basil E. Frankweiler,E.L. Konigsburg,4.16,209977,1967-01-01,159,"['Fiction', 'Childrens', 'Young Adult', 'Middle Grade', 'Mystery', 'Classics', 'Realistic Fiction']",1187,9006,52,3341,7624,34861,71159,92992
The Naked and the Dead,Norman Mailer,3.95,25349,1948-01-01,721,"['Fiction', 'Classics', 'War', 'Historical Fiction', 'Literature', 'Novels', 'World War II']",1261,990,307,529,1334,5383,9858,8245
A Death in the Family,James Agee,3.89,16410,1957-01-01,320,"['Fiction', 'Classics', 'Literature', 'Novels', 'Historical Fiction', 'American', 'Literary Fiction']",260,1484,96,374,1085,3849,5740,5362
The Savage Detectives,Roberto Bolaño,4.17,43587,1998-11-02,577,"['Fiction', 'Novels', 'Spanish Literature', 'Literature', 'Latin American', 'Literary Fiction', 'Contemporary', 'Fiction', 'Novels', 'Spanish Literature', 'Literature', 'Latin American', 'Literary Fiction', 'Contemporary', 'Fiction', 'Novels', 'Spanish Literature', 'Literature', 'Latin American', 'Literary Fiction', 'Contemporary']",5708,4568,138,1084,2297,5851,13203,21152
